iso3,dv_type,year,position_musd
ARG,O,2015,660.9
ARG,O,2016,617.6
ARG,O,2017,709.4
ARG,O,2018,499.1
ARG,O,2019,772.9
ARG,O,2020,1131.1
ARG,O,2021,1941.3
ARG,O,2022,2194.3
ARG,O,2023,3408.9
ARG,O,2024,4182.4
ARG,SCC,2018,1010.1
ARG,SCC,2019,1191.3
ARG,SCC,2020,1992.7
ARG,SCC,2021,2141.1
ARG,SCC,2022,2134.5
ARG,SCC,2023,1821.2
ARG,SCC,2024,2335.6
BOL,O,2009,2.5
BOL,O,2010,3.1
BOL,O,2011,2.7
BOL,O,2012,2.6
BOL,O,2013,3
BOL,O,2014,59.2
BOL,O,2015,63.3
BOL,O,2016,61.1
BOL,O,2017,81.9
BOL,O,2018,117.5
BOL,O,2019,119.3
BOL,O,2020,125.2
BOL,O,2021,113.9
BOL,O,2022,99.1
BOL,O,2023,64.8
BOL,O,2024,37.1
BOL,SCC,2018,182.8
BOL,SCC,2019,179.7
BOL,SCC,2020,288
BOL,SCC,2021,307.5
BOL,SCC,2022,230.2
BOL,SCC,2023,270.2
BOL,SCC,2024,412.6
BRA,O,2010,677.9
BRA,O,2011,864.5
BRA,O,2012,1113.4
BRA,O,2013,1193
BRA,O,2014,2415.3
BRA,O,2015,1816
BRA,O,2016,1792.3
BRA,O,2017,1994
BRA,O,2018,1787.2
BRA,O,2019,2143.9
BRA,O,2020,1634.4
BRA,O,2021,1233.2
BRA,O,2022,1193.1
BRA,O,2023,1483.7
BRA,O,2024,-2022.4
BRA,SCC,2018,3051.7
BRA,SCC,2019,2524.2
BRA,SCC,2020,3205.1
BRA,SCC,2021,3007.7
BRA,SCC,2022,3410
BRA,SCC,2023,3944.5
BRA,SCC,2024,3439.3
CHL,O,2012,81.1
CHL,O,2013,3
CHL,O,2014,25
CHL,O,2015,167.7
CHL,O,2016,348.5
CHL,O,2017,379
CHL,O,2018,403.9
CHL,O,2019,516.6
CHL,O,2020,769.9
CHL,O,2021,631.8
CHL,O,2022,911.7
CHL,O,2023,946.8
CHL,O,2024,958.1
CHL,SCC,2018,561.1
CHL,SCC,2019,1112.4
CHL,SCC,2020,1266.8
CHL,SCC,2021,1235.2
CHL,SCC,2022,1337.8
CHL,SCC,2023,1597.9
CHL,SCC,2024,1635.7
COL,SCC,2018,188.2
COL,SCC,2019,220.9
COL,SCC,2020,428.5
COL,SCC,2021,108.8
COL,SCC,2022,244.3
COL,SCC,2023,535
COL,SCC,2024,703.6
ECU,SCC,2018,345.8
ECU,SCC,2019,182.2
ECU,SCC,2020,601.4
ECU,SCC,2021,470.4
ECU,SCC,2022,418.5
ECU,SCC,2023,447.9
ECU,SCC,2024,551.6
GUY,SCC,2018,78.3
GUY,SCC,2019,111
GUY,SCC,2020,257.3
GUY,SCC,2021,265.6
GUY,SCC,2022,231.5
GUY,SCC,2023,215.1
GUY,SCC,2024,230.3
PAN,O,2009,21.6
PAN,O,2010,40.3
PAN,O,2011,19.6
PAN,O,2012,26.2
PAN,O,2013,53.7
PAN,O,2014,0
PAN,O,2016,233.2
PAN,O,2017,273.6
PAN,O,2018,0
PAN,O,2019,0
PAN,O,2021,0
PAN,O,2022,0
PAN,O,2023,0
PAN,O,2024,0
PAN,SCC,2018,290.4
PAN,SCC,2019,329
PAN,SCC,2020,676.5
PAN,SCC,2021,1002
PAN,SCC,2022,1162.8
PAN,SCC,2023,1402.2
PAN,SCC,2024,1739.2
PER,O,2009,297.6
PER,O,2010,979.5
PER,O,2011,1627.3
PER,O,2012,1072.7
PER,O,2013,2460.6
PER,SCC,2018,833.7
PER,SCC,2019,1268.5
PER,SCC,2020,1705.1
PER,SCC,2021,2181.4
PER,SCC,2022,2309.5
PER,SCC,2023,2350.2
PER,SCC,2024,3651.8
PRY,O,2009,6.2
PRY,O,2010,8.6
PRY,O,2011,8.9
PRY,O,2012,9.9
PRY,O,2013,9.3
PRY,O,2014,9.4
PRY,O,2015,9.1
PRY,O,2016,10
PRY,O,2017,11.4
PRY,O,2018,6.5
PRY,O,2019,7.5
PRY,O,2020,8.5
PRY,O,2021,9.9
PRY,O,2022,13.6
PRY,O,2023,19.8
PRY,O,2024,18.1
PRY,SCC,2018,0.8
PRY,SCC,2019,0
PRY,SCC,2020,0.7
PRY,SCC,2021,3.7
PRY,SCC,2022,2.4
PRY,SCC,2023,3.4
PRY,SCC,2024,4.3
SUR,SCC,2018,85
SUR,SCC,2019,121.8
SUR,SCC,2020,92.1
SUR,SCC,2021,37.7
SUR,SCC,2022,81.8
SUR,SCC,2023,84.7
SUR,SCC,2024,37.7
URY,O,2012,75.8
URY,O,2013,102
URY,O,2014,66.8
URY,O,2015,79.4
URY,O,2016,-6.4
URY,O,2017,-10.8
URY,O,2018,-22.5
URY,O,2019,-41.6
URY,O,2020,182.3
URY,O,2021,1091.5
URY,O,2022,1403
URY,O,2023,1841.7
URY,O,2024,-24.3
URY,SCC,2018,214.5
URY,SCC,2019,189.9
URY,SCC,2020,185.1
URY,SCC,2021,217.9
URY,SCC,2022,229.2
URY,SCC,2023,213.7
URY,SCC,2024,297.9
VEN,O,2011,1170
VEN,O,2012,1269
VEN,O,2013,1635
VEN,O,2014,1610
VEN,O,2015,1152
VEN,O,2016,784
VEN,O,2017,756
VEN,SCC,2018,2396
VEN,SCC,2019,2169.8
VEN,SCC,2020,2961
VEN,SCC,2021,587.7
VEN,SCC,2022,468.5
VEN,SCC,2023,569.5
VEN,SCC,2024,317.8
