iso3,country,year,stock_musd
ARG,Argentina,1990,9084.648
ARG,Argentina,1991,11523.648
ARG,Argentina,1992,16302.85
ARG,Argentina,1993,18520.324
ARG,Argentina,1994,22428.053
ARG,Argentina,1995,27991.044
ARG,Argentina,1996,33556.974
ARG,Argentina,1997,42012.652
ARG,Argentina,1998,47797.05
ARG,Argentina,1999,61926.426
ARG,Argentina,2000,67600.51
ARG,Argentina,2001,79503.535
ARG,Argentina,2002,43146.388
ARG,Argentina,2003,48262
ARG,Argentina,2004,52507.309
ARG,Argentina,2005,55138.774
ARG,Argentina,2006,59882.214
ARG,Argentina,2007,66225.688
ARG,Argentina,2008,75235.083
ARG,Argentina,2009,78205.15
ARG,Argentina,2010,85590.58
ARG,Argentina,2011,92294.997
ARG,Argentina,2012,98705.619
ARG,Argentina,2013,88337.66
ARG,Argentina,2014,89715.934
ARG,Argentina,2015,79773.006
ARG,Argentina,2016,74868.346
ARG,Argentina,2017,80699.605
ARG,Argentina,2018,72589.394
ARG,Argentina,2019,70458.41
ARG,Argentina,2020,85268.84
ARG,Argentina,2021,99995.239
ARG,Argentina,2022,116627.112
ARG,Argentina,2023,130302
ARG,Argentina,2024,175538.333
BOL,Bolivia,1990,1025.7
BOL,Bolivia,1991,1092.7
BOL,Bolivia,1992,1188.4
BOL,Bolivia,1993,1310.5
BOL,Bolivia,1994,1434.1
BOL,Bolivia,1995,1564.3
BOL,Bolivia,1996,1990.7
BOL,Bolivia,1997,2248.3
BOL,Bolivia,1998,3274.4
BOL,Bolivia,1999,4284.9
BOL,Bolivia,2000,5187.7
BOL,Bolivia,2001,5893.47
BOL,Bolivia,2002,6570.03
BOL,Bolivia,2003,4606.5
BOL,Bolivia,2004,4957.6
BOL,Bolivia,2005,4904.5
BOL,Bolivia,2006,5118.867
BOL,Bolivia,2007,5485
BOL,Bolivia,2008,5998
BOL,Bolivia,2009,6421.06
BOL,Bolivia,2010,6889.976
BOL,Bolivia,2011,7748.917
BOL,Bolivia,2012,8808.883
BOL,Bolivia,2013,10992.277
BOL,Bolivia,2014,11784.69
BOL,Bolivia,2015,11597.988
BOL,Bolivia,2016,11564.533
BOL,Bolivia,2017,12241.463
BOL,Bolivia,2018,11835.153
BOL,Bolivia,2019,11710.3
BOL,Bolivia,2020,10276.3
BOL,Bolivia,2021,10585.5
BOL,Bolivia,2022,9838.892
BOL,Bolivia,2023,9377.318
BOL,Bolivia,2024,9565.819
BRA,Brazil,1990,37143.412
BRA,Brazil,1991,38580.246
BRA,Brazil,1992,47262.066
BRA,Brazil,1993,54593.718
BRA,Brazil,1994,61825.896
BRA,Brazil,1995,47886.624
BRA,Brazil,1996,54846.018
BRA,Brazil,1997,69721.498
BRA,Brazil,1998,99505.438
BRA,Brazil,1999,102330.699
BRA,Brazil,2001,117610.69
BRA,Brazil,2002,96860.858
BRA,Brazil,2003,127725.801
BRA,Brazil,2004,157777.478
BRA,Brazil,2005,177914.954
BRA,Brazil,2006,213021.15
BRA,Brazil,2007,292530.595
BRA,Brazil,2008,260530.595
BRA,Brazil,2009,367183.2
BRA,Brazil,2010,640329.627
BRA,Brazil,2011,649126.399
BRA,Brazil,2012,664208.459
BRA,Brazil,2013,627788.723
BRA,Brazil,2014,601489.939
BRA,Brazil,2015,429843
BRA,Brazil,2016,563539.49
BRA,Brazil,2017,623020.8
BRA,Brazil,2018,568741.4
BRA,Brazil,2019,705031
BRA,Brazil,2020,595284.8
BRA,Brazil,2021,729576.6
BRA,Brazil,2022,878143.8
BRA,Brazil,2023,1103232.729
BRA,Brazil,2024,914327.764
CHL,Chile,1990,16106.684
CHL,Chile,1991,16928.784
CHL,Chile,1992,17864.084
CHL,Chile,1993,18898.284
CHL,Chile,1994,21481.284
CHL,Chile,1995,24437.384
CHL,Chile,1996,29252
CHL,Chile,1997,34523.4
CHL,Chile,1998,37630.1
CHL,Chile,1999,43498.2
CHL,Chile,2000,45753.4
CHL,Chile,2001,43481.7
CHL,Chile,2002,42311.3
CHL,Chile,2003,54569.775
CHL,Chile,2004,65629.312
CHL,Chile,2005,78599.432
CHL,Chile,2006,84534.597
CHL,Chile,2007,107582.665
CHL,Chile,2008,101736.791
CHL,Chile,2009,129274.199
CHL,Chile,2010,160904.4
CHL,Chile,2011,173243.261
CHL,Chile,2012,179320.083
CHL,Chile,2013,190785.038
CHL,Chile,2014,205014.847
CHL,Chile,2015,207888.219
CHL,Chile,2016,222751.942
CHL,Chile,2017,245715.523
CHL,Chile,2018,241028.835
CHL,Chile,2019,245467.6
CHL,Chile,2020,248931.7
CHL,Chile,2021,238534.055
CHL,Chile,2022,252369.624
CHL,Chile,2023,265693.642
CHL,Chile,2024,266950.452
COL,Colombia,1990,3500.149
COL,Colombia,1991,3601.961
COL,Colombia,1992,3891.328
COL,Colombia,1993,4284.196
COL,Colombia,1994,5086.081
COL,Colombia,1995,6406.992
COL,Colombia,1996,11773.394
COL,Colombia,1997,19693.626
COL,Colombia,1998,16644.535
COL,Colombia,1999,13423.767
COL,Colombia,2000,11157.197
COL,Colombia,2001,15377.068
COL,Colombia,2002,18031.602
COL,Colombia,2003,20540.305
COL,Colombia,2004,24883.289
COL,Colombia,2005,36987
COL,Colombia,2006,45406
COL,Colombia,2007,56463
COL,Colombia,2008,67266
COL,Colombia,2009,75986
COL,Colombia,2010,82990.631
COL,Colombia,2011,97378.752
COL,Colombia,2012,112949.362
COL,Colombia,2013,128212.875
COL,Colombia,2014,141810.5
COL,Colombia,2015,149072.547
COL,Colombia,2016,164428.031
COL,Colombia,2017,179333.922
COL,Colombia,2018,188833.018
COL,Colombia,2019,204916.143
COL,Colombia,2020,212299.497
COL,Colombia,2021,219677.312
COL,Colombia,2022,234230.265
COL,Colombia,2023,253671.594
COL,Colombia,2024,267441.569
ECU,Ecuador,1990,1626
ECU,Ecuador,1991,1786.143
ECU,Ecuador,1992,1964.04
ECU,Ecuador,1993,2589.8
ECU,Ecuador,1994,3166.126
ECU,Ecuador,1995,3618.586
ECU,Ecuador,1996,4118.24
ECU,Ecuador,1997,4842.176
ECU,Ecuador,1998,5712.149
ECU,Ecuador,1999,6360.589
ECU,Ecuador,2000,6337.15
ECU,Ecuador,2001,6875.718
ECU,Ecuador,2002,7658.979
ECU,Ecuador,2003,8530.493
ECU,Ecuador,2004,9367.432
ECU,Ecuador,2005,9860.846
ECU,Ecuador,2006,10132.275
ECU,Ecuador,2007,10326.148
ECU,Ecuador,2008,11383.516
ECU,Ecuador,2009,11692.126
ECU,Ecuador,2010,11857.993
ECU,Ecuador,2011,12504.07
ECU,Ecuador,2012,13071.48
ECU,Ecuador,2013,13798.545
ECU,Ecuador,2014,14575.194
ECU,Ecuador,2015,15906.497
ECU,Ecuador,2016,16675.947
ECU,Ecuador,2017,17308.374
ECU,Ecuador,2018,18699.684
ECU,Ecuador,2019,19679.32
ECU,Ecuador,2020,20793.669
ECU,Ecuador,2021,21442.381
ECU,Ecuador,2022,22324.419
ECU,Ecuador,2023,22799.454
ECU,Ecuador,2024,23031.568
GUY,Guyana,1990,44.84
